S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm),F (mg/L),NO3 (mg/L),Fe (ppm),As (ppb),U (ppb),As (mg/L),U (mg/L),HPI,Category
9293,West Bengal,Cooch Behar,Putimari,89.4655,26.1514,2023,7.79,638,0.07,97,1.1,1.69,-,0.0017,NaN,383.567,unsafe
9294,West Bengal,Cooch Behar,Gosanimari,89.3624,26.135,2023,8.03,301,0.1,61,2.2,2.94,-,0.0029,NaN,762.733,unsafe
9295,West Bengal,Cooch Behar,Gitaldaha,89.48,26.03,2023,7.42,134,0.29,1,7.4,1.27,-,0.0013,NaN,2479.367,unsafe
9296,West Bengal,Cooch Behar,Nazirhat,89.5711,26.1848,2023,7.82,480,0.16,0,12.5,1.57,-,0.0016,NaN,4182.367,unsafe
9297,West Bengal,Cooch Behar,Sahebganj,89.5492,26.1155,2023,7.61,754,0.05,18,5.6,1.22,-,0.0012,NaN,1878.867,unsafe
9298,West Bengal,Cooch Behar,Dhaprahat,88.9867,26.2744,2023,7.64,737,0.11,28,0.1,0,-,0,NaN,33.333,safe
9299,West Bengal,Cooch Behar,Haldibari,88.7775,26.3391,2023,7.01,571,0.17,0,1.7,0,-,0,NaN,566.667,unsafe
9300,West Bengal,Cooch Behar,Kasiabari,88.7628,26.3811,2023,7.98,232,0.13,3,3.1,0,-,0,NaN,1033.333,unsafe
9301,West Bengal,Cooch Behar,Angarkata Paradubi,89.2256,26.3902,2023,7.13,266,0.23,2,0.6,0,-,0,NaN,200,unsafe
9302,West Bengal,Cooch Behar,Bhogramguri,89.071,26.4269,2023,8.14,99,0.22,8,6.8,0,-,0,NaN,2266.667,unsafe
9303,West Bengal,Cooch Behar,Mathabhanga,89.2135,26.3421,2023,7.2,502,0.78,5,0.2,0,-,0,NaN,66.667,moderate
9304,West Bengal,Cooch Behar,Ratanpur,88.9922,26.4339,2023,8.11,123,0.17,8,0.3,0,-,0,NaN,100,moderate
9305,West Bengal,Cooch Behar,Ghoksadanga,89.276,26.4246,2023,7.82,309,0.95,18,0.4,0,-,0,NaN,133.333,unsafe
9306,West Bengal,Cooch Behar,Changra-Bandha,88.9179,26.4206,2023,7.69,399,0.17,36,0,0,-,0,NaN,0,safe
9307,West Bengal,Cooch Behar,Mechliganj,88.9084,26.3462,2023,7.3,260,0.11,8,0.1,0,-,0,NaN,33.333,safe
9308,West Bengal,Cooch Behar,Merigipur,88.9241,26.3453,2023,7.96,258,0.1,8,0.1,0,-,0,NaN,33.333,safe
9309,West Bengal,Cooch Behar,Panishla,88.9446,26.4418,2023,8.01,162,0.46,6,1.6,2.18,-,0.0022,NaN,555.133,unsafe
9310,West Bengal,Cooch Behar,Sahebganj,89.5956,26.1159,2023,7.84,246,0.05,3,17.6,0,-,0,NaN,5866.667,unsafe
9311,West Bengal,Cooch Behar,Sitai,89.3228,26.0875,2023,8.12,185,0.1,13,0.3,0,-,0,NaN,100,moderate
9312,West Bengal,Cooch Behar,Bara Pinjarir Jhar,89.1959,26.2234,2023,8.15,82,0.2,3,1.4,4.65,-,0.0047,NaN,513.167,unsafe
9313,West Bengal,Cooch Behar,Gosaler Hat,89.1908,26.1987,2023,7.97,157,0.11,7,13.4,0,-,0,NaN,4466.667,unsafe
9314,West Bengal,Cooch Behar,Balarampur,89.5854,26.2438,2023,7.2,560,0.39,61,0.1,1.93,-,0.0019,NaN,52.633,unsafe
9315,West Bengal,Cooch Behar,Chilakhana (Palpara),89.5884,26.3069,2023,7.5,957,0.18,31,0.1,0,-,0,NaN,33.333,safe
9316,West Bengal,Cooch Behar,Bakshirhat,89.7663,26.3331,2023,8.01,177,0.23,6,9,0,-,0,NaN,3000,unsafe
9317,West Bengal,Cooch Behar,Bochamari,89.7181,26.4083,2023,7.81,318,0.21,61,16.4,0,-,0,NaN,5466.667,unsafe
9318,West Bengal,Dakshin Dinajpur,Amrail,88.896,25.2147,2023,7.27,205,0.24,0,2.1,1.32,-,0.0013,NaN,713.2,unsafe
9319,West Bengal,Dakshin Dinajpur,Balurghat,88.792,25.2324,2023,7.44,167,0.36,0,5.1,1.16,-,0.0012,NaN,1711.6,unsafe
9320,West Bengal,Dakshin Dinajpur,Buniadpur,88.3959,25.3926,2023,8.16,390,1,0,5.4,4.07,-,0.0041,NaN,1840.7,unsafe
9321,West Bengal,Dakshin Dinajpur,Joredighi,88.4026,25.4415,2023,7.42,360,1.2,0,0.4,0,-,0,NaN,133.333,unsafe
9322,West Bengal,Dakshin Dinajpur,Patharghata (Panjuri Para),88.3569,25.3594,2023,7.49,717,0.7,0,0.3,0,-,0,NaN,100,moderate
9323,West Bengal,Dakshin Dinajpur,Durgapur,88.476,25.4066,2023,7.98,520,3.5,0,0.4,0,-,0,NaN,133.333,unsafe
9324,West Bengal,Dakshin Dinajpur,Madhabpur,88.5714,25.4997,2023,7.79,381,1.3,0,0.1,0,-,0,NaN,33.333,safe
9325,West Bengal,Dakshin Dinajpur,Madnahar,88.5837,25.2465,2023,7.48,610,0.67,0,0.1,0,-,0,NaN,33.333,safe
9326,West Bengal,Dakshin Dinajpur,Nayabazar,88.5235,25.3642,2023,8.19,443,6.5,0,0.1,0,-,0,NaN,33.333,unsafe
9327,West Bengal,Dakshin Dinajpur,Shankarpur,88.6037,25.4193,2023,7.93,530,2.3,0,3,2.64,-,0.0026,NaN,1026.4,unsafe
9328,West Bengal,Dakshin Dinajpur,Shib Bari,88.5389,25.4175,2023,7.62,827,0.17,3,0.1,1.82,-,0.0018,NaN,51.533,moderate
9329,West Bengal,Dakshin Dinajpur,Thangapara,88.4678,25.4089,2023,7.55,650,0.72,0,1.2,0,-,0,NaN,400,unsafe
9330,West Bengal,Dakshin Dinajpur,Zafarpur,88.5209,25.4787,2023,7.83,228,0.55,0,13.2,0,-,0,NaN,4400,unsafe
9331,West Bengal,Dakshin Dinajpur,Biprit,88.0793,26.087,2023,7.44,195,0.1,0,11.2,0,-,0,NaN,3733.333,unsafe
9332,West Bengal,Dakshin Dinajpur,Goagaon,88.0458,25.9371,2023,7.28,225,0.04,0,3.1,1.38,-,0.0014,NaN,1047.133,unsafe
9333,West Bengal,Dakshin Dinajpur,Kismat Kasba,88.3144,25.3119,2023,7.64,506,0.38,0,0.7,3.25,-,0.0033,NaN,265.833,unsafe
9334,West Bengal,Dakshin Dinajpur,Kismat Kasba,88.3145,25.312,2023,7.19,1336,0.56,18,0.1,2.86,-,0.0029,NaN,61.933,moderate
9335,West Bengal,Dakshin Dinajpur,Hilli,88.9871,25.2755,2023,7.56,276,0.3,0,0.8,5.64,-,0.0056,NaN,323.067,unsafe
9336,West Bengal,Dakshin Dinajpur,Hilli,88.9968,25.2788,2023,7.87,1110,0.33,33,0.1,3.81,-,0.0038,NaN,71.433,moderate
9337,West Bengal,Dakshin Dinajpur,Hilli P.S.,88.9965,25.2775,2023,8.27,330,0.35,0,3.4,5.02,-,0.005,NaN,1183.533,unsafe
9338,West Bengal,Dakshin Dinajpur,Teore,88.8885,25.2593,2023,7.33,421,0.24,0,2.5,0,-,0,NaN,833.333,unsafe
9339,West Bengal,Dakshin Dinajpur,Lalchandrapur,88.2917,25.5845,2023,7.77,239,0.22,0,5.5,0,-,0,NaN,1833.333,unsafe
9340,West Bengal,Dakshin Dinajpur,Mustafa Nagar,88.2917,25.5845,2023,7.77,239,0.22,0,5.5,0,-,0,NaN,1833.333,unsafe
9341,West Bengal,Dakshin Dinajpur,Tarangapur (Kaliaganj),88.3159,25.622,2023,7.49,293,0.44,0,3.6,0,-,0,NaN,1200,unsafe
9342,West Bengal,Dakshin Dinajpur,Rasakhowa,88.0441,25.8476,2023,7.32,821,0.05,52,0.8,0,-,0,NaN,266.667,unsafe
9343,West Bengal,Dakshin Dinajpur,Gobindapur,88.7785,25.3638,2023,7.84,392,0.47,0,16.8,0,-,0,NaN,5600,unsafe
9344,West Bengal,Dakshin Dinajpur,Samjhia,88.7622,25.5174,2023,7.03,406,2.2,0,0.7,0,-,0,NaN,233.333,unsafe
9345,West Bengal,Dakshin Dinajpur,Sundarpur,88.7646,25.4739,2023,7.62,1684,0.32,12,0.3,1.34,-,0.0013,NaN,113.4,unsafe
9346,West Bengal,Dakshin Dinajpur,Chausa,88.4733,25.5558,2023,7.48,370,1.2,0,0.7,0,-,0,NaN,233.333,unsafe
9347,West Bengal,Dakshin Dinajpur,Dikul,88.4992,25.5016,2023,7.56,430,2.1,0,0.1,0,-,0,NaN,33.333,unsafe
9348,West Bengal,Dakshin Dinajpur,Balapur 1,88.6434,25.2274,2023,7.43,329,0.19,6,0.1,0,-,0,NaN,33.333,safe
9349,West Bengal,Dakshin Dinajpur,Balapur 2,88.6456,25.2265,2023,7.53,641,0.42,0,0.7,0,-,0,NaN,233.333,unsafe
9350,West Bengal,Dakshin Dinajpur,Dhelpir,88.561,25.3271,2023,7.06,475,0.78,0,0.6,0,-,0,NaN,200,unsafe
9351,West Bengal,Dakshin Dinajpur,Jittirhat  (Near Lalkarhat ),88.5848,25.2206,2023,8.13,530,0.5,0,0,0,-,0,NaN,0,safe
9352,West Bengal,Dakshin Dinajpur,Rampur,88.6328,25.3463,2023,7.43,1519,0.24,13,1.6,1.24,-,0.0012,NaN,545.733,unsafe
9353,West Bengal,Darjeeling,Gorubathan Forest (Meenglas Tea,88.4905,26.9265,2023,7.77,76,0.35,6,12.9,0,-,0,NaN,4300,unsafe
9354,West Bengal,Darjeeling,Mongpong,88.4889,26.8823,2023,7.6,192,0.33,22,0.3,0,-,0,NaN,100,moderate
9355,West Bengal,Darjeeling,Demra Vita,88.175,26.5751,2023,7.1,437,0.46,28,0.1,0,-,0,NaN,33.333,safe
9356,West Bengal,Darjeeling,Dulaljote,88.1722,26.6278,2023,7.38,164,0.34,8,0.3,1.21,-,0.0012,NaN,112.1,unsafe
9357,West Bengal,Darjeeling,Galgalia,88.1442,26.5266,2023,6.77,406,0.24,10,0.6,0,-,0,NaN,200,unsafe
9358,West Bengal,Darjeeling,Gurudayal Jote,88.1778,26.5506,2023,7.41,185,0.17,3,0.2,0,-,0,NaN,66.667,moderate
9359,West Bengal,Darjeeling,Kadamani,88.1205,26.5596,2023,7.37,134,0.04,1,0.8,0,-,0,NaN,266.667,unsafe
9360,West Bengal,Darjeeling,Kharibari,88.1924,26.5557,2023,6.83,518,0.22,83,0.3,0,-,0,NaN,100,unsafe
9361,West Bengal,Darjeeling,Sonachandi,88.2342,26.5695,2023,7.52,81,0.37,7,0.3,0,-,0,NaN,100,moderate
9362,West Bengal,Darjeeling,Sevoke,88.4726,26.8807,2023,8.08,211,0.21,72,0.1,0,-,0,NaN,33.333,unsafe
9363,West Bengal,Darjeeling,Sukna,88.3626,26.7911,2023,8.17,77,0.26,0,0.1,0,-,0,NaN,33.333,safe
9364,West Bengal,Darjeeling,Chanbarjote,88.3699,26.6972,2023,7.29,469,0.14,13,0.7,0,-,0,NaN,233.333,unsafe
9365,West Bengal,Darjeeling,Matigara,88.3831,26.7203,2023,7.54,149,0.07,37,0.1,0,-,0,NaN,33.333,safe
9366,West Bengal,Darjeeling,Methibari,88.3792,26.7692,2023,7.52,83,0.37,7,0.3,0,-,0,NaN,100,moderate
9367,West Bengal,Darjeeling,Methibari,88.3825,26.7676,2023,7.6,245,0.24,14,0.2,0,-,0,NaN,66.667,moderate
9368,West Bengal,Darjeeling,Siliguri,88.4159,26.7227,2023,7.3,498,0.17,19,0.5,0,-,0,NaN,166.667,unsafe
9369,West Bengal,Darjeeling,Siliguri,88.4266,26.7049,2023,6.99,774,0.17,82,0.3,0,-,0,NaN,100,unsafe
9370,West Bengal,Darjeeling,Tumbajote,88.3951,26.7134,2023,7.22,353,0.29,24,0.4,0,-,0,NaN,133.333,unsafe
9371,West Bengal,Darjeeling,Bagdogra,88.3173,26.6974,2023,6.87,416,0.17,67,0.7,0,-,0,NaN,233.333,unsafe
9372,West Bengal,Darjeeling,Jabra More,88.2218,26.7404,2023,7.58,74,0.16,0,0.4,0,-,0,NaN,133.333,unsafe
9373,West Bengal,Darjeeling,Kamalpur,88.3075,26.712,2023,7.4,62,0.05,5,0.2,0,-,0,NaN,66.667,moderate
9374,West Bengal,Darjeeling,Lalpur,88.2132,26.7054,2023,7.37,187,0.15,0,0.8,0,-,0,NaN,266.667,unsafe
9375,West Bengal,Darjeeling,Naxalbari,88.2022,26.6848,2023,7.36,185,0.18,2,0.2,0,-,0,NaN,66.667,moderate
9376,West Bengal,Darjeeling,Panighata,88.2401,26.7563,2023,7.7,92,0.58,6,0.1,0,-,0,NaN,33.333,safe
9377,West Bengal,Darjeeling,Prasadiyote,88.1817,26.6561,2023,7.46,225,0.31,7,0.3,0,-,0,NaN,100,moderate
9378,West Bengal,Darjeeling,Prasadjyote,88.3337,26.7021,2023,7.62,153,0.46,6,0.1,0,-,0,NaN,33.333,safe
9379,West Bengal,Darjeeling,Prasadjyote,88.1822,26.6576,2023,7.14,238,0.24,58,2.3,0,-,0,NaN,766.667,unsafe
9380,West Bengal,Darjeeling,Tirhana,88.2602,26.7674,2023,7.23,295,0.31,73,0.2,0,-,0,NaN,66.667,unsafe
9381,West Bengal,Darjeeling,Ambarimore,88.2792,26.5736,2023,6.85,993,0.38,118,0.4,0,-,0,NaN,133.333,unsafe
9382,West Bengal,Darjeeling,Baneswar,88.3797,26.604,2023,7.25,541,0.52,52,0.4,1.18,-,0.0012,NaN,145.133,unsafe
9383,West Bengal,Darjeeling,Gangaram Tea Garden,88.3083,26.6317,2023,7.07,569,0.28,27,0.3,0,-,0,NaN,100,moderate
9384,West Bengal,Darjeeling,Gayagangakanthi Vita,88.32,26.5881,2023,7.33,189,0.78,6,0.4,0,-,0,NaN,133.333,unsafe
9385,West Bengal,Darjeeling,Ghosh Pukur,88.2772,26.5894,2023,7.07,248,0.6,69,1.6,0,-,0,NaN,533.333,unsafe
9386,West Bengal,Darjeeling,Kalaramghoshpara,88.3702,26.6695,2023,7.26,463,0.14,13,0.3,0,-,0,NaN,100,moderate
9387,West Bengal,Darjeeling,Leusi Pakuri,88.3758,26.6313,2023,7.08,363,0.41,8,0.2,2.04,-,0.002,NaN,87.067,moderate
9388,West Bengal,Darjeeling,Muraliganj,88.235,26.4644,2023,7.27,198,0.38,52,0.4,0,-,0,NaN,133.333,unsafe
9389,West Bengal,Darjeeling,Rangapani,88.3694,26.6486,2023,7.27,323,0.42,24,0,1.73,-,0.0017,NaN,17.3,safe
9390,West Bengal,Darjeeling,Tutapakri Basti,88.3137,26.5876,2023,6.99,296,0.08,39,0.4,0,-,0,NaN,133.333,unsafe
9391,West Bengal,Hooghly,Arambagh,87.7856,22.8873,2023,7.99,498,0.24,0,0.3,6.12,-,0.0061,NaN,161.2,unsafe
9392,West Bengal,Hooghly,Balagarh,88.4497,23.1242,2023,7.52,353,0.09,2,1.7,0,-,0,NaN,566.667,unsafe
9393,West Bengal,Hooghly,Balagarh,88.465,23.1253,2023,7.89,661,0.52,17,1.1,2.79,-,0.0028,NaN,394.567,unsafe
9394,West Bengal,Hooghly,Bankipur,88.4239,23.1469,2023,8.11,336,0.87,0,1.6,8.42,-,0.0084,NaN,617.533,unsafe
9395,West Bengal,Hooghly,Dwarpara,88.4199,23.0946,2023,7.77,1134,0.31,27,3.4,9.08,-,0.0091,NaN,1224.133,unsafe
9396,West Bengal,Hooghly,Guptipara,88.4086,23.2061,2023,7.63,324,0.12,58,22,6.42,-,0.0064,NaN,7397.533,unsafe
9397,West Bengal,Hooghly,Kolra More Dw,88.439,23.129,2023,7.38,1528,0.25,34,0.1,1.36,-,0.0014,NaN,46.933,safe
9398,West Bengal,Hooghly,Mashra (Ghoshpara),88.4122,23.1303,2023,7.41,2558,0.32,161,0.2,6.04,-,0.006,NaN,127.067,unsafe
9399,West Bengal,Hooghly,Milargarh,88.4956,23.1089,2023,8.15,421,0.71,0,0.6,7.96,-,0.008,NaN,279.6,unsafe
9400,West Bengal,Hooghly,Seakhala,88.0624,22.7366,2023,7.94,521,0.07,1,0.2,0,-,0,NaN,66.667,moderate
9401,West Bengal,Hooghly,Garalgacha,88.2673,22.685,2023,7.53,573,0.18,7,3.4,2.18,-,0.0022,NaN,1155.133,unsafe
9402,West Bengal,Hooghly,Bandel,88.395,22.9197,2023,8.06,373,0.34,1,0.5,3.45,-,0.0035,NaN,201.167,unsafe
9403,West Bengal,Hooghly,Demra,88.3939,23.0078,2023,7.92,314,0.48,9,0.9,2.39,-,0.0024,NaN,323.9,unsafe
9404,West Bengal,Hooghly,Bengai,87.6907,22.9404,2023,8.08,268,0.19,0,0.7,0,-,0,NaN,233.333,unsafe
9405,West Bengal,Hooghly,Gopal Prasadpur,88.047,22.795,2023,7.95,514,0.11,0,0.6,0,-,0,NaN,200,unsafe
9406,West Bengal,Hooghly,Naity,88.103,22.887,2023,8.22,345,0.77,0,3.6,0,-,0,NaN,1200,unsafe
9407,West Bengal,Hooghly,Jangipara,88.0535,22.7494,2023,7.7,1031,0.12,10,0.3,1.04,-,0.001,NaN,110.4,unsafe
9408,West Bengal,Hooghly,Kaknan,87.889,22.839,2023,8.04,391,0.08,8,1.8,4.6,-,0.0046,NaN,646,unsafe
9409,West Bengal,Hooghly,Ghoshpur,87.784,22.735,2023,8.06,346,0.62,21,12.7,0,-,0,NaN,4233.333,unsafe
9410,West Bengal,Hooghly,Deyparamandloi,88.3296,22.5855,2023,7.99,524,0.2,11,0.3,7.14,-,0.0071,NaN,171.4,unsafe
9411,West Bengal,Hooghly,Mahanad,88.2636,23.0144,2023,7.95,656,0.08,9,0.6,0,-,0,NaN,200,unsafe
9412,West Bengal,Hooghly,Pandua,88.2525,23.1125,2023,7.58,321,0.15,2,8.2,8.27,-,0.0083,NaN,2816.033,unsafe
9413,West Bengal,Hooghly,Barbigha,88.2778,23.0064,2023,8.12,279,0.16,5,1,0,-,0,NaN,333.333,unsafe
9414,West Bengal,Hooghly,Barbigha,88.2778,23.0064,2023,8.03,368,0.19,0,0.9,0,-,0,NaN,300,unsafe
9415,West Bengal,Hooghly,Digruighat,87.924,22.787,2023,8.08,369,0.39,3,1.5,0,-,0,NaN,500,unsafe
9416,West Bengal,Hooghly,Srirampur,87.9547,22.8258,2023,8.07,349,0.63,1,1.6,1.94,-,0.0019,NaN,552.733,unsafe
9417,West Bengal,Hooghly,Sherpur,88.415,23.0211,2023,7.39,1274,0.69,9,0.1,1.43,-,0.0014,NaN,47.633,safe
9418,West Bengal,Hooghly,Aknapur,88.049,22.907,2023,7.65,326,0.11,13,4.6,0,-,0,NaN,1533.333,unsafe
9419,West Bengal,Hooghly,Tarakeswar Pz,88.025,22.88,2023,8.1,335,0.26,13,1.8,2.71,-,0.0027,NaN,627.1,unsafe
9420,West Bengal,Howrah,Amta,88.026,22.572,2023,8.1,551,0.34,0,0.5,0,-,0,NaN,166.667,unsafe
9421,West Bengal,Howrah,Amta 2,88.026,22.572,2023,7.95,532,0.13,6,0.1,2.07,-,0.0021,NaN,54.033,moderate
9422,West Bengal,Howrah,Burikhali,88.297,22.589,2023,7.38,2579,0.35,21,0,6.14,-,0.0061,NaN,61.4,unsafe
9423,West Bengal,Howrah,Jagacha,88.297,22.589,2023,7.88,1162,0.16,27,0.1,5.37,-,0.0054,NaN,87.033,moderate
9424,West Bengal,Howrah,Domjur,88.085,22.389,2023,8.07,452,0.31,10,0.4,0,-,0,NaN,133.333,unsafe
9425,West Bengal,Howrah,Ramrajatala,88.297,22.589,2023,7.29,1908,0.21,18,0.1,3.04,-,0.003,NaN,63.733,unsafe
9426,West Bengal,Howrah,Howrah Town,88.3296,22.5855,2023,7.97,700,0.05,6,1.2,16.59,-,0.0166,NaN,565.9,unsafe
9427,West Bengal,Howrah,Goalpota,88.109,22.681,2023,8.07,461,0.96,2,0.6,0,-,0,NaN,200,unsafe
9428,West Bengal,Howrah,Ichapur,88.111,22.633,2023,7.98,621,0.58,6,0.1,0,-,0,NaN,33.333,safe
9429,West Bengal,Howrah,Jagatballavpur,88.121,22.679,2023,7.9,680,0.06,13,0.6,7.84,-,0.0078,NaN,278.4,unsafe
9430,West Bengal,Howrah,Bauria(11/89),88.1828,22.5022,2023,8.19,537,0.27,14,1.1,14.37,-,0.0144,NaN,510.367,unsafe
9431,West Bengal,Howrah,Sankrail,88.2133,22.5664,2023,7.84,1061,0.33,10,0.2,8.97,-,0.009,NaN,156.367,unsafe
9432,West Bengal,Howrah,Shyampur,88.025,22.3,2023,7.35,1481,0.64,34,0.3,1.16,-,0.0012,NaN,111.6,unsafe
9433,West Bengal,Howrah,Bardabar,87.9847,22.3108,2023,7.79,833,0.56,21,0.7,0,-,0,NaN,233.333,unsafe
9434,West Bengal,Howrah,Baganda,88.0842,22.3928,2023,7.34,3001,0.39,24,0.1,3.74,-,0.0037,NaN,70.733,unsafe
9435,West Bengal,Howrah,Kalinagar,88.106,22.447,2023,7.53,3434,0.67,40,0,6.82,-,0.0068,NaN,68.2,unsafe
9436,West Bengal,Howrah,Uluberia Dug,88.114,22.469,2023,7.52,2100,0.42,17,0.3,9.16,-,0.0092,NaN,191.6,unsafe
9437,West Bengal,Jalpaiguri,Gilandi Club Para,89.0092,26.6143,2023,7.67,470,1.48,0,0.4,0,-,0,NaN,133.333,unsafe
9438,West Bengal,Jalpaiguri,Karbola,89.07,26.84,2023,7.62,296,1.08,10,0.1,0,-,0,NaN,33.333,safe
9439,West Bengal,Jalpaiguri,Khal Gram,89.0533,26.5611,2023,7.37,243,0.86,35,0.3,0,-,0,NaN,100,moderate
9440,West Bengal,Jalpaiguri,Millpara,89.0075,26.5936,2023,7.87,538,0.84,6,0.8,2.14,-,0.0021,NaN,288.067,unsafe
9441,West Bengal,Jalpaiguri,Newsalbarihat,89.1055,26.5442,2023,7.73,1037,0.35,103,0,0,-,0,NaN,0,unsafe
9442,West Bengal,Jalpaiguri,Salbari,89.0742,26.5528,2023,7.9,317,0.08,27,0.4,0,-,0,NaN,133.333,unsafe
9443,West Bengal,Jalpaiguri,Berubari,88.7004,26.41,2023,7.67,410,0.11,1,0,0,-,0,NaN,0,safe
9444,West Bengal,Jalpaiguri,Dus Doroga,88.6086,26.5472,2023,8,489,1.21,24,0,0,-,0,NaN,0,safe
9445,West Bengal,Jalpaiguri,Ghugudanga,88.7431,26.3997,2023,7.84,342,1.02,5,0,0,-,0,NaN,0,safe
9446,West Bengal,Jalpaiguri,Jalpaiguri,88.7265,26.522,2023,8,201,0.95,2,0,0,-,0,NaN,0,safe
9447,West Bengal,Jalpaiguri,Jhabari More,88.8072,26.5504,2023,7.32,394,0.72,9,0.1,0,-,0,NaN,33.333,safe
9448,West Bengal,Jalpaiguri,Konpakuri,88.6994,26.4425,2023,7.48,362,0.29,24,0,0,-,0,NaN,0,safe
9449,West Bengal,Jalpaiguri,Panda Para Kalibari,88.7154,26.5065,2023,7.67,483,0.93,20,10,0,-,0,NaN,3333.333,unsafe
9450,West Bengal,Jalpaiguri,Phulwari Hat,88.4178,26.6517,2023,7.92,246,0.32,58,0.1,0,-,0,NaN,33.333,unsafe
9451,West Bengal,Jalpaiguri,Rajganj,88.5349,26.5694,2023,7.61,236,0.62,12,0.1,2.04,-,0.002,NaN,53.733,moderate
9452,West Bengal,Jalpaiguri,Raninagar,88.6438,26.5376,2023,7.53,430,1.06,38,0.2,0,-,0,NaN,66.667,moderate
9453,West Bengal,Jalpaiguri,Bara Daldali,89.8085,26.5351,2023,8.29,169,0,2,0.2,0,-,0,NaN,66.667,moderate
9454,West Bengal,Jalpaiguri,Baradighi,88.7403,26.7975,2023,7.75,309,0.51,1,0.2,0,-,0,NaN,66.667,moderate
9455,West Bengal,Jalpaiguri,Mal Bazar,88.736,26.8694,2023,8.11,124,0.41,11,0,0,-,0,NaN,0,safe
9456,West Bengal,Jalpaiguri,Purba Tesimala,88.7433,26.8417,2023,8.14,230,0.85,16,0.4,0,-,0,NaN,133.333,unsafe
9457,West Bengal,Jalpaiguri,Rangamati Overbridge,88.7114,26.8689,2023,7.71,44,0.18,1,0.2,1.72,-,0.0017,NaN,83.867,moderate
9458,West Bengal,Jalpaiguri,Chalsa,88.8035,26.8806,2023,7.92,219,1.06,2,8.1,0,-,0,NaN,2700,unsafe
9459,West Bengal,Jalpaiguri,Lataguri,88.7639,26.6998,2023,8.12,370,0.64,32,0,0,-,0,NaN,0,safe
9460,West Bengal,Jalpaiguri,Bolbari (Laskarhat),88.7806,26.6178,2023,7.96,358,0.87,25,0,0,-,0,NaN,0,safe
9461,West Bengal,Jalpaiguri,Boulbari,88.7755,26.6281,2023,7.72,210,0.59,11,0.1,0,-,0,NaN,33.333,safe
9462,West Bengal,Jalpaiguri,Brahmapur Bazar,88.8881,26.4561,2023,8.15,194,0.68,9,2.6,0,-,0,NaN,866.667,unsafe
9463,West Bengal,Jalpaiguri,Daribiza,88.8089,26.5715,2023,7.59,380,0.28,24,0.2,0,-,0,NaN,66.667,moderate
9464,West Bengal,Jalpaiguri,Madhaboanga,88.7755,26.6281,2023,7.19,793,0.53,14,0,0,-,0,NaN,0,safe
9465,West Bengal,Jalpaiguri,Madhav Danga,88.0292,22.9703,2023,7.86,480,0.72,37,0.4,0,-,0,NaN,133.333,unsafe
9466,West Bengal,Jalpaiguri,"Mangalghat, Rakhal Devi",88.7124,26.49,2023,8.06,90,0.61,1,1.1,0,-,0,NaN,366.667,unsafe
9467,West Bengal,Jalpaiguri,Moynaguri,88.8194,26.5647,2023,7.79,461,0.46,28,0,0,-,0,NaN,0,safe
9468,West Bengal,Jalpaiguri,Votpatty (Barua Para),88.6843,26.5387,2023,7.87,124,0.35,10,1.2,0,-,0,NaN,400,unsafe
9469,West Bengal,Jalpaiguri,Khairbari,88.9122,26.8438,2023,7.99,209,0.29,8,0.1,0,-,0,NaN,33.333,safe
9470,West Bengal,Jalpaiguri,Nagrakata Club,88.9144,26.8854,2023,7.98,124,0.86,15,0.1,0,-,0,NaN,33.333,safe
9471,West Bengal,Jalpaiguri,Andgad Gadge,88.5751,26.5779,2023,7.55,114,0.61,17,0.1,0,-,0,NaN,33.333,safe
9472,West Bengal,Jalpaiguri,Balaigachh,88.5083,26.5865,2023,7.6,167,1.09,21,0.1,0,-,0,NaN,33.333,safe
9473,West Bengal,Jalpaiguri,Bandhunagar,88.4692,26.6217,2023,7.44,195,0.39,14,0,6.14,-,0.0061,NaN,61.4,moderate
9474,West Bengal,Jalpaiguri,Fatapukur,88.54,26.5719,2023,7.82,633,0.91,81,1.1,0,-,0,NaN,366.667,unsafe
9475,West Bengal,Jalpaiguri,Gadra,88.4528,26.5544,2023,7.67,410,0.11,1,1.7,0,-,0,NaN,566.667,unsafe
9476,West Bengal,Jalpaiguri,Hathi More,88.5132,26.5822,2023,8.07,545,0.92,90,0.2,0,-,0,NaN,66.667,unsafe
9477,West Bengal,Jalpaiguri,Indramore,88.5878,26.6055,2023,7.3,279,0.18,5,1.2,0,-,0,NaN,400,unsafe
9478,West Bengal,Jalpaiguri,Jatiakhali More,88.4467,26.6256,2023,8.21,276,0.11,5,0,0,-,0,NaN,0,safe
9479,West Bengal,Jalpaiguri,Kalinagar,88.5072,26.5558,2023,7.27,513,0.74,0,1.1,0,-,0,NaN,366.667,unsafe
9480,West Bengal,Jalpaiguri,Kaluwar Bari,88.5984,26.5792,2023,7.45,193,1.14,15,0.9,0,-,0,NaN,300,unsafe
9481,West Bengal,Jalpaiguri,Radhabari,88.4512,26.624,2023,7.65,111,0.38,8,1.4,1.87,-,0.0019,NaN,485.367,unsafe
9482,West Bengal,Jalpaiguri,Rajganj,88.515,26.5557,2023,8.28,237,0.62,38,0.1,0,-,0,NaN,33.333,safe
9483,West Bengal,Jhargram,Dahijuri,86.9927,22.5039,2023,7.4,871,0.13,54,0.2,0,-,0,NaN,66.667,unsafe
